


4K|频道,#genre#
CCTV5+ 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8
CCTV-6 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV-7 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV-8 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV-9 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8
CCTV-10 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8
CCTV-11 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8
CCTV-12 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8
CCTV-13 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8
CCTV-14 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8
CCTV-15 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//index.m3u8
CCTV-16 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//index.m3u8
CCTV-17 高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//index.m3u8

卫视1|频道,#genre#
湖南卫视 ,https://live.v1.mk/aishang/hunwshd
浙江卫视 ,https://live.v1.mk/aishang/zjwshd
东方卫视 ,https://live.v1.mk/aishang/dfwshd
江苏卫视 ,https://live.v1.mk/aishang/jswshd
北京卫视 ,https://live.v1.mk/aishang/bjwshd
深圳卫视 ,https://live.v1.mk/aishang/szwshd
山东卫视 ,https://live.v1.mk/aishang/sdwshd
广东卫视 ,https://live.v1.mk/aishang/gdwshd
安徽卫视 ,https://live.v1.mk/aishang/ahwshd
东南卫视 ,https://live.v1.mk/aishang/dnwshd
天津卫视 ,https://live.v1.mk/aishang/tjwshd
重庆卫视 ,https://live.v1.mk/aishang/cqws
湖北卫视 ,https://live.v1.mk/aishang/hubwshd
四川卫视 ,https://live.v1.mk/aishang/scws
河南卫视 ,https://live.v1.mk/aishang/hnws
陕西卫视 ,https://live.v1.mk/aishang/sxws
吉林卫视 ,https://live.v1.mk/aishang/jlws
云南卫视 ,https://live.v1.mk/aishang/ynws
广西卫视 ,https://live.v1.mk/aishang/gxws
江西卫视 ,https://live.v1.mk/aishang/jxws
黑龙江卫视 ,https://live.v1.mk/aishang/hljwshd
河北卫视 ,https://live.v1.mk/aishang/hbwshd
青海卫视 ,https://live.v1.mk/aishang/qhws
贵州卫视 ,https://live.v1.mk/aishang/gzwshd
西藏卫视 ,https://live.v1.mk/aishang/xzws
甘肃卫视 ,https://live.v1.mk/aishang/gsws
新疆卫视 ,https://live.v1.mk/aishang/xjws
厦门卫视 ,https://live.v1.mk/aishang/xmws
内蒙古卫视 ,https://live.v1.mk/aishang/nmws

卫视2|频道,#genre#
江苏卫视 8M,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000
广西卫视 8M,https://live.v1.mk/api/bestv.php?id=gxwshd8m/8000000
四川卫视 8M,https://live.v1.mk/api/bestv.php?id=scwshd/8000000
湖南卫视 8M,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000
浙江卫视 8M,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
东方卫视 8M,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000
北京卫视 8M,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000
天津卫视 8M,https://live.v1.mk/api/bestv.php?id=tjwshd8m/8000000
辽宁卫视 8M,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000
安徽卫视 8M,https://live.v1.mk/api/bestv.php?id=ahwshd8m/8000000
黑龙江卫视 8M,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000
广东卫视 8M,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000
深圳卫视 8M,https://live.v1.mk/api/bestv.php?id=szwshd8m/8000000
湖北卫视 8M,https://live.v1.mk/api/bestv.php?id=hubeiws8m/8000000
吉林卫视 8M,https://live.v1.mk/api/bestv.php?id=jlwshd8m/8000000
山东卫视 8M,https://live.v1.mk/api/bestv.php?id=sdws8m/8000000
江西卫视 8M,https://live.v1.mk/api/bestv.php?id=jxws8m/8000000
河南卫视 8M,https://live.v1.mk/api/bestv.php?id=hnwshd8m/8000000
河北卫视 8M,https://live.v1.mk/api/bestv.php?id=hbwshd8m/8000000
甘肃卫视 8M,https://live.v1.mk/api/bestv.php?id=gswshd8m/8000000
重庆卫视 8M,https://live.v1.mk/api/bestv.php?id=cqws8m/8000000
东南卫视 8M,https://live.v1.mk/api/bestv.php?id=dnwshd8m/8000000
云南卫视 8M,https://live.v1.mk/api/bestv.php?id=ynwshd8m/8000000
贵州卫视 8M,https://live.v1.mk/api/bestv.php?id=gzwshd8m/8000000
海南卫视 8M,https://live.v1.mk/api/bestv.php?id=hainanwshd8m/8000000

卫视2|频道,#genre#
东南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/dongnanHD/__op/default/__f//index.m3u8
东方卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//index.m3u8
云南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/yunnanSD/__op/default/__f//index.m3u8
